ep,steps,steer_std,gas_std,brake_std,gas_ratio,brake_ratio,mean_actions
1,1852,0.5737727,0.24994509,0.0,0.06695464362850972,0.0,[-0.05831533  0.06695464  0.        ]
0,1417,0.37052944,0.20766982,0.0,0.04516584333098095,0.0,[-0.04940014  0.04516584  0.        ]
